Name,Power,Gold,XP,Region
Trap of Least Resistance,80,500,0,SIS
Graffiti Trap,100,2000,600,SIS
Patron Trap,125,2500,1400,SIS
Good Game Trap,150,3000,2300,SOA/SOL
Puppet Master Trap,175,3500,3300,SOA/SOL
Bunny Lure Trap,200,4000,4500,SOA/SOL
Freedom Taker,225,4500,5900,SOE/SOSS
Dimensional Trap,250,5000,7400,SOE/SOSS
Ghostly Snare,275,6000,9200,LKCSB
The Brother of All Traps,300,7000,11300,LKCSB
THE Trap,325,8500,13800,LKCSB
Death Trap,350,10000,16800,Forbidden Hill
EVIL Trap,375,12000,20400,Forbidden Hill
Ambush Trap,400,15500,25100,Forbidden Hill
SRP Trap,425,18000,30500,Forbidden Hill
